,season,player,position,xG,Goal,Shooting,Passing,Hits,Blocks,Takeaways,Giveaways,Powerplay,plusMinus
6420,2017,Dmitrij Jaskin,RW,11.577618926763535,6,76,75,94,80,85,71,66,6
6421,2017,Dmitry Kulikov,D,2.3904936197213833,3,67,71,79,86,68,87,70,6
6422,2017,Dmitry Orlov,D,6.924876740667969,10,81,84,87,89,88,86,65,10
6424,2017,Dominic Toninato,C,2.4739484977908432,0,62,59,65,64,59,59,71,0
6425,2017,Dominic Turgeon,C,0.18608037056401366,0,62,52,55,59,60,56,71,-2
6426,2017,Dominik Simon,C,4.422467624768616,4,72,71,71,66,68,68,67,2
6427,2017,Dougie Hamilton,D,14.795134755782785,17,86,86,82,86,84,90,71,1
6428,2017,Drake Caggiula,C,13.530210292898117,13,85,69,89,75,82,79,72,-13
6429,2017,Drew Doughty,D,13.571314220316708,10,80,93,87,90,74,91,72,23
6430,2017,Drew Stafford,RW,11.078175482340157,8,78,69,82,64,74,69,70,-20
6431,2017,Dryden Hunt,LW,0.4023320320993662,0,62,56,66,55,59,59,71,-5
6432,2017,Duncan Keith,D,8.833507689647377,2,63,87,70,94,85,90,66,-29
6434,2017,Dustin Brown,RW,24.089613318443302,28,91,88,92,75,86,87,76,31
6435,2017,Dustin Byfuglien,D,11.046073783654721,8,78,89,88,88,85,91,78,15
6436,2017,Dylan DeMelo,D,2.930499603971839,0,61,83,81,86,70,71,73,-1
6437,2017,Dylan Gambrell,C,0.03905143588781357,0,62,52,54,53,53,52,71,-1
6438,2017,Dylan Larkin,C,20.685175213962797,16,86,92,80,78,89,91,65,-9
6439,2017,Dylan Sikura,C,0.5559779549948871,0,62,63,54,53,60,52,70,2
6440,2017,Dylan Strome,C,4.835521610453725,4,72,66,57,62,70,55,69,4
6441,2017,Eeli Tolvanen,RW,0.5572383850812912,0,62,52,56,52,53,54,71,0
6442,2017,Elias Lindholm,C,18.988055028021336,16,86,87,85,78,87,82,68,-8
6443,2017,Eric Fehr,C,3.229767532553524,3,69,55,66,64,64,59,71,6
6444,2017,Eric Gryba,D,0.7173800207674503,0,62,59,78,68,66,67,71,4
6445,2017,Eric Robinson,LW,0.12323060818016528,0,62,52,55,51,53,52,71,1
6446,2017,Eric Staal,C,23.531512476503853,42,96,88,71,81,87,77,84,8
6447,2017,Erik Burgdoerfer,D,0.12261697091162205,0,62,55,57,55,51,53,71,2
6448,2017,Erik Gudbranson,D,1.8573140474036336,2,63,62,87,87,61,79,71,-7
6449,2017,Erik Gustafsson,D,3.162584390491247,5,74,75,67,81,69,76,71,1
6450,2017,Erik Haula,LW,20.774678259622306,29,91,86,83,79,87,84,87,-16
6451,2017,Erik Johnson,D,9.402710461523382,9,79,80,86,91,86,85,62,2
6452,2017,Erik Karlsson,D,10.265366401989011,9,79,94,76,90,89,92,72,-25
6453,2017,Esa Lindell,D,7.0645451890304685,7,76,83,84,90,75,86,70,19
6454,2017,Ethan Bear,D,0.8140948712825775,1,62,63,60,74,61,73,72,-11
6455,2017,Evan Rodrigues,C,5.650019987486303,7,77,82,62,69,77,67,69,-10
6456,2017,Evander Kane,LW,29.067045953590426,29,91,86,90,75,86,86,66,-9
6457,2017,Evgeni Malkin,C,29.220794085413214,42,96,95,73,75,92,90,91,16
6458,2017,Evgenii Dadonov,RW,23.98039817484096,28,91,89,64,75,87,86,70,10
6459,2017,Evgeny Kuznetsov,C,19.658427974209193,27,90,95,74,71,87,89,81,3
6460,2017,Evgeny Svechnikov,RW,0.8903342727571726,2,66,60,62,57,59,61,71,-2
6461,2017,Filip Chlapik,C,1.7696099705062809,1,62,63,63,64,67,61,71,-5
6462,2017,Filip Chytil,C,2.942238347604871,1,62,60,55,52,55,57,70,-5
6463,2017,Filip Forsberg,LW,17.999166585505012,26,90,90,83,77,88,89,88,27
6466,2017,Frank Vatrano,C,7.032007593661548,7,77,63,76,64,69,67,65,3
6467,2017,Frans Nielsen,C,10.819202770944683,16,86,81,74,85,83,77,81,1
6469,2017,Frederick Gaudreau,C,1.2422668500803409,0,62,63,57,59,63,55,71,0
6470,2017,Frederik Gauthier,C,1.2508979924023151,1,63,52,60,56,60,61,71,-4
6471,2017,Fredrik Claesson,D,2.8509189295582478,1,62,67,90,87,72,82,70,-7
6472,2017,Gabriel Bourque,LW,5.084369068033993,5,75,68,87,85,70,55,71,-6
6473,2017,Gabriel Carlsson,D,0.6878631133586168,0,62,59,59,62,55,60,71,0
6474,2017,Gabriel Dumont,C,3.1428474425338213,1,62,55,79,65,63,57,71,1
6475,2017,Gabriel Landeskog,LW,20.4512598933652,25,89,89,89,82,88,80,72,16
6476,2017,Garnet Hathaway,RW,8.435790987219661,4,71,73,90,75,75,71,71,3
6477,2017,Gemel Smith,C,5.494425916578621,6,76,66,69,63,70,60,71,6
6479,2017,Greg McKegg,C,2.124861116055399,2,66,59,63,61,59,57,70,-4
6480,2017,Greg Pateryn,D,3.718839038629085,1,62,76,89,92,60,85,70,6
6481,2017,Gustav Forsling,D,4.122387766838074,3,65,74,65,85,75,85,73,-2
6482,2017,Gustav Nyquist,C,23.69053369108587,21,88,83,78,76,87,85,65,-2
6483,2017,Gustav Olofsson,D,1.4725444270297885,0,62,71,64,80,61,68,71,0
6484,2017,Hampus Lindholm,D,7.6250992668792605,13,85,82,84,88,79,88,72,16
6485,2017,Haydn Fleury,D,3.15497842989862,0,61,71,83,88,77,82,70,-2
6486,2017,Henrik Borgstrom,C,0.4824576443061233,1,63,52,54,52,57,56,70,-1
6490,2017,Hudson Fasching,RW,0.2180665284395218,0,62,52,58,53,53,52,68,-1
6491,2017,Ian Cole,D,4.088207853958012,5,73,79,85,90,77,78,74,14
6492,2017,Ian McCoshen,D,0.9152011033147572,3,70,55,80,80,57,81,71,-10
6494,2017,Ivan Barbashev,C,4.499075081665068,7,77,68,80,71,78,67,69,-1
6495,2017,Ivan Provorov,D,11.348453227896245,17,86,85,88,94,80,93,65,17
6496,2017,J.T. Brown,RW,3.425373944453895,2,65,66,81,69,69,67,71,-5
6497,2017,J.T. Compher,LW,13.535859095863998,13,84,74,73,85,74,68,69,-29
6498,2017,J.T. Miller,C,18.19570819614455,23,89,89,87,71,87,90,84,-4
6499,2017,Jaccob Slavin,D,7.5700647034682325,8,77,85,73,93,92,85,69,1
6500,2017,Jack Eichel,C,17.557475633453578,25,90,90,75,76,86,88,73,-25
6501,2017,Jack Johnson,D,4.3663633819669485,3,65,71,85,91,76,76,68,-6
6502,2017,Jack Rodewald,RW,0.0,0,62,52,57,53,58,56,71,-1
6503,2017,Jack Roslovic,C,2.9293818692676723,5,75,73,63,59,72,67,64,5
6505,2017,Jacob Trouba,D,7.017461101524532,3,65,84,83,88,82,87,65,9
